shape	new_ms_warm	new_ms_cold	new_rows	new_ret_bytes	ref_ms	ref_bytes	today_ms	today_stmts
b01_trace_by_id_20	32	168	5190	11699	54	24428	6	2.2
b02_trace_by_id_1000	40	130	9286	335128	111	688553	17	3.2
c01_arithmetic	50	63	2038978	2239	-	-	-	-
c02_field_vs_field	55	63	2047170	2490	-	-	-	-
c03_aggregate_value	67	72	2045122	3426	-	-	-	-
c04_intrinsic_vs_attr	69	70	2052290	2788	-	-	-	-
c05_by_attribute	90	148	3073217	4926	-	-	-	-
c06_child_count	125	146	4000128	640	-	-	-	-
c07_nested_set	80	214	348205	36	-	-	-	-
c08_compare	1191	1428	20071121	34950	-	-	-	-
c09_exemplars	90	91	2000064	235706	-	-	-	-
c10_topk	42	53	2000064	8140	-	-	-	-
c11_tag_names_catalog	2	2	48	1123	-	-	-	-
c12_tag_values_catalog	2	5	8192	1445	-	-	-	-
c13_name_values	20	30	2000064	6547	-	-	-	-
c14_nested_set_numbering	3019	7641	14949655	50	-	-	-	-
c15_nested_set_small	1865	4986	8913831	50	-	-	-	-
c16_truthiness	46	68	2049218	2812	-	-	-	-
c17_presence	58	72	2047170	2869	-	-	-	-
c18_absence	73	101	2045122	3001	-	-	-	-
c19_mid_pipeline_filter	36	60	2053314	3603	-	-	-	-
g01_service_graph	209	261	6000192	1233	-	-	323	0.8
m01_rate_by_service	38	44	2000064	46120	249	180658	181	4.7
m01b_rate_by_service_final	43	45	2000064	46120	-	-	-	-
m01c_rate_by_service_uniq	139	130	2000064	46120	-	-	-	-
m02_quantiles_by_route	40	56	2000064	28578	190	286892	400	0.2
m03_errors_by_service	17	27	2000064	37264	62	142941	52	3.2
m04_histogram	26	37	2000064	38843	163	168911	125	5.2
m05_instant_avg_by_name	27	45	2000064	2346	210	7369	400	1.2
m06_rate_by_resource_attr	44	46	2000132	185352	445	680319	400	1.2
s01_empty	62	75	2045122	3001	9	19786	86	3.2
s02_service	36	56	2048194	3118	10	23960	56	5.0
s03_service_error	33	60	2060229	2287	36	19940	496	22.0
s04_status_code_ge_500	47	68	2040002	2557	19	16884	123	3.0
s05_duration_kind	36	66	2054417	2151	18	15923	60	6.0
s06_db_and_name	62	92	2050242	4211	28	22459	129	5.5
s07_route_regex	46	74	2043074	2638	9	16520	136	3.8
s08_user_point	44	67	2012354	546	139	4122	26	3.7
s09_descendant	396	790	5794587	1348	249	21664	5069	185.8
s10_child	58	79	2000064	1620	17	19810	116	9.5
s11_event_attr	43	55	2045122	2428	13	22407	92	6.0
s12_select	36	62	2045122	3699	12	33127	105	3.5
s13_count_gt	43	58	2053314	3543	13	33672	65	6.5
s14_trace_level	78	168	1246002	2962	26	19801	75369	3685.5
s15_unscoped_and_resource	113	145	2050650	2615	19	20462	578	10.8
st01_child_plain	74	112	2000064	0	-	-	-	-
st02_child_neg	77	97	2000064	1364	-	-	-	-
st03_child_union	73	100	2000064	0	-	-	-	-
st04_parent_plain	80	106	2000064	0	-	-	-	-
st05_parent_neg	68	109	2000064	1364	-	-	-	-
st06_parent_union	68	97	2000064	0	-	-	-	-
st07_sibling_plain	106	152	2000064	0	-	-	-	-
st08_sibling_neg	108	156	2000064	1364	-	-	-	-
st09_sibling_union	97	146	2000064	0	-	-	-	-
st10_descendant_plain	994	1961	9892654	1539	-	-	-	-
st11_descendant_neg	965	2020	10265138	51	-	-	-	-
st12_descendant_union	1325	2851	13992032	2451	-	-	-	-
st13_ancestor_plain	594	1150	6558235	51	-	-	-	-
st14_ancestor_neg	612	1267	6930719	1539	-	-	-	-
st15_ancestor_union	874	1689	8804162	51	-	-	-	-
t01_tag_names_span	392	486	2000064	556	5	535	4	3.3
t02_tag_values_route	44	57	2000064	1445	3	55	4	4.3
t03_tag_values_filtered	27	36	2000132	100	30	237	108	1.7
