case	pulsus	reference
F1  {}	33333333333333333333333333333333:0000000000000008,0000000000000009 | 22222222222222222222222222222222:0000000000000007 | 11111111111111111111111111111111:0000000000000001,0000000000000002,0000000000000003,0000000000000004,0000000000000005,0000000000000006	33333333333333333333333333333333:0000000000000008,0000000000000009 | 22222222222222222222222222222222:0000000000000007 | 11111111111111111111111111111111:0000000000000001,0000000000000002,0000000000000003,0000000000000004,0000000000000005,0000000000000006
F2  service	11111111111111111111111111111111:0000000000000005,0000000000000006	11111111111111111111111111111111:0000000000000005,0000000000000006
F3  status error	11111111111111111111111111111111:0000000000000001,0000000000000005	11111111111111111111111111111111:0000000000000001,0000000000000005
F4  int >= 500	11111111111111111111111111111111:0000000000000001	11111111111111111111111111111111:0000000000000001
F5  string "200"	11111111111111111111111111111111:0000000000000006	11111111111111111111111111111111:0000000000000006
F6  float > 0.2	11111111111111111111111111111111:0000000000000003	11111111111111111111111111111111:0000000000000003
F7  array member	11111111111111111111111111111111:0000000000000003	11111111111111111111111111111111:0000000000000003
F8  bool false	11111111111111111111111111111111:0000000000000001	11111111111111111111111111111111:0000000000000001
F9  duration > 1s	33333333333333333333333333333333:0000000000000008	33333333333333333333333333333333:0000000000000008
F10 event attribute	11111111111111111111111111111111:0000000000000005	11111111111111111111111111111111:0000000000000005
F11 link intrinsic	33333333333333333333333333333333:0000000000000008	33333333333333333333333333333333:0000000000000008
F12 descendant	11111111111111111111111111111111:0000000000000005	11111111111111111111111111111111:0000000000000005
F13 child	11111111111111111111111111111111:0000000000000005	11111111111111111111111111111111:0000000000000005
F14 name	33333333333333333333333333333333:0000000000000009 | 11111111111111111111111111111111:0000000000000006	33333333333333333333333333333333:0000000000000009 | 11111111111111111111111111111111:0000000000000006
F15 root service	33333333333333333333333333333333:0000000000000008,0000000000000009	33333333333333333333333333333333:0000000000000008,0000000000000009
F16 trace duration	33333333333333333333333333333333:0000000000000008,0000000000000009	33333333333333333333333333333333:0000000000000008,0000000000000009
F17 unscoped	11111111111111111111111111111111:0000000000000001	11111111111111111111111111111111:0000000000000001
F18 resource attribute	11111111111111111111111111111111:0000000000000005,0000000000000006	11111111111111111111111111111111:0000000000000005,0000000000000006
F19 int != 200	33333333333333333333333333333333:0000000000000008,0000000000000009 | 11111111111111111111111111111111:0000000000000001,0000000000000002,0000000000000003,0000000000000004,0000000000000005,0000000000000006	11111111111111111111111111111111:0000000000000001
F20 kind consumer	33333333333333333333333333333333:0000000000000008	33333333333333333333333333333333:0000000000000008
B1 span exactly at start	1 (must be 1)	reference: start is inclusive
B2 span exactly at end	0 (must be 0)	reference: end is exclusive
B3 that same span one ns later	1 (must be 1)	-
F21 span count	9	11
