case	corpus	pulsus	reference	pulsus_matches_corpus
service	112701	112701	113201	yes
service_error	178	178	178	yes
status_code_ge_500	2969	2969	2996	yes
duration_kind	487	487	494	yes
db_and_name	496147	496147	499684	yes
route_regex	30814	30814	31028	yes
user_point	36	36	36	yes
event_attr	10714	10714	10827	yes
bool_true	209815	209815	211925	yes
float_gt	19890	19890	20081	yes
int_ne	1737881	1737881	29531	yes
array_attr	16954	16954	17134	yes
kind_producer	8894	8894	8933	yes
status_unset	1986628	1986628	2006158	yes
name_eq	496147	496147	499684	yes
resource_attr	41626	41626	42626	yes
child	8596	8596	7870	yes
descendant	178	178	168	yes
