s01_empty	200	19786	9	9	10
s02_service	200	23960	10	10	13
s03_service_error	200	19940	25	36	37
s04_status_code_ge_500	200	16884	16	19	71
s05_duration_kind	200	15923	17	18	24
s06_db_and_name	200	22459	24	28	41
s07_route_regex	200	16520	8	9	11
s08_user_point	200	4122	136	139	208
s09_descendant	200	21664	230	249	287
s10_child	200	19810	16	17	17
s11_event_attr	200	22407	11	13	59
s12_select	200	33127	12	12	13
s13_count_gt	200	33672	12	13	14
s14_trace_level	200	19801	24	26	30
s15_unscoped_and_resource	200	20462	17	19	23
t01_tag_names_span	200	535	4	5	5
t02_tag_values_route	200	55	3	3	3
t03_tag_values_filtered	200	237	28	30	32
m01_rate_by_service	200	180658	239	249	299
m02_quantiles_by_route	200	286892	183	190	246
m03_errors_by_service	200	142941	59	62	102
m04_histogram	200	168911	161	163	238
m05_instant_avg_by_name	200	7369	206	210	260
m06_rate_by_resource_attr	200	680319	398	445	462
b01_trace_by_id_20	200	24428	47	54	58
b02_trace_by_id_1000	200	688553	105	111	156
