id	side	expect	api_disagree	membership_disagree	statement_errors	disposition_mismatch	parse_vector_mismatch	outcome	verdict	rule
status_code_render	renderer	red	5	5	0	0	0	noticed	PASS	the code a status keyword stands for
status_code_interp	interpreter	red	5	5	0	0	0	noticed	PASS	the code a status keyword stands for
kind_code_render	renderer	red	2	2	0	0	0	noticed	PASS	the code a kind keyword stands for
kind_code_interp	interpreter	red	2	2	0	0	0	noticed	PASS	the code a kind keyword stands for
unscoped_order_render	renderer	red	1	1	0	0	0	noticed	PASS	the order an unscoped read tries the scopes in
unscoped_order_interp	interpreter	red	1	1	0	0	0	noticed	PASS	the order an unscoped read tries the scopes in
climb_bound_render	renderer	red	1	1	0	0	0	noticed	PASS	the structural climb follows at most MAX_DEPTH parent links
climb_bound_interp	interpreter	red	2	2	0	0	0	noticed	PASS	the structural climb follows at most MAX_DEPTH parent links
gte_render	renderer	red	2	2	0	0	0	noticed	PASS	`>=` is rendered as `>=`
gte_interp	interpreter	red	3	3	0	0	0	noticed	PASS	`>=` evaluates as `>=`
neq_missing_render	renderer	red	1	1	0	0	0	noticed	PASS	`!=` also matches a span lacking the key
neq_missing_interp	interpreter	red	2	2	0	0	0	noticed	PASS	`!=` also matches a span lacking the key
regex_anchor_render	renderer	red	3	3	0	0	0	noticed	PASS	a regex is anchored at both ends
regex_anchor_interp	interpreter	red	3	3	0	0	0	noticed	PASS	a regex is anchored at both ends
truthiness_render	renderer	red	1	1	0	0	0	noticed	PASS	a bare attribute is truthiness, not presence
truthiness_span_scope_render	renderer	red	1	1	0	0	0	noticed	PASS	a bare SPAN-SCOPED attribute is truthiness
truthiness_interp	interpreter	red	2	2	0	0	0	noticed	PASS	a bare attribute is truthiness, not presence
service_column_render	renderer	red	3	3	0	0	0	noticed	PASS	`resource.service.name` is answered from the span column
service_column_interp	interpreter	red	6	4	0	0	0	noticed	PASS	`resource.service.name` is answered from the span column
child_render	renderer	red	4	4	0	0	0	noticed	PASS	`{A} > {B}`: B is a child of an A span
